repo_url,name,expected_fw
https://github.com/tensorflow/models/tree/master/research/deeplab,DeepLab: Deep Labelling for Semantic Image Segmentation,TensorFlow
https://github.com/tensorflow/models/tree/master/research/textsum,Sequence-to-Sequence with Attention Model for Text Summarization.,TensorFlow
https://github.com/tensorflow/models/tree/master/research/tcn,Time Contrastive Networks,TensorFlow
https://github.com/caffe2/models/tree/master/resnet50,resnet50,Caffe2
https://github.com/caffe2/models/tree/master/style_transfer/page,style_transfer/page,Caffe2
https://github.com/tensorflow/models/tree/master/research/brain_coder,Brain Coder,TensorFlow
https://github.com/apache/incubator-mxnet/tree/master/example/nce-loss,example/nce-loss,MXNet
https://github.com/keras-team/keras/blob/master/examples/cifar10_cnn.py,#Train a simple deep CNN on the CIFAR10 small images dataset.,Keras
https://github.com/tensorflow/models/tree/master/research/morph_net,MorphNet project has moved to https://github.com/google-research/morph-net.,TensorFlow
https://github.com/caffe2/models/tree/master/style_transfer/darkmatter_b,style_transfer/darkmatter_b,Caffe2
https://github.com/keras-team/keras/blob/master/examples/cifar10_resnet.py,#Trains a ResNet on the CIFAR10 dataset.,Keras
https://github.com/caffe2/models/tree/master/style_transfer/whale_d,style_transfer/whale_d,Caffe2
https://github.com/keras-team/keras/blob/master/examples/mnist_sklearn_wrapper.py,Example of how to use sklearn wrapper,Keras
https://github.com/keras-team/keras/blob/master/examples/antirectifier.py,#This example demonstrates how to write custom layers for Keras.,Keras
https://github.com/caffe2/models/tree/master/style_transfer/pieces_a,style_transfer/pieces_a,Caffe2
https://github.com/caffe2/models/tree/master/style_transfer/shapes_a,style_transfer/shapes_a,Caffe2
https://github.com/apache/incubator-mxnet/tree/master/example/neural-style,example/neural-style,MXNet
https://github.com/caffe2/models/tree/master/style_transfer/rug_c,style_transfer/rug_c,Caffe2
https://github.com/apache/incubator-mxnet/tree/master/example/bi-lstm-sort,example/bi-lstm-sort,MXNet
https://github.com/tensorflow/models/tree/master/research/differential_privacy,Deep Learning with Differential Privacy,TensorFlow
https://github.com/caffe2/models/tree/master/style_transfer/grayloops,style_transfer/grayloops,Caffe2
https://github.com/tensorflow/models/tree/master/research/lexnet_nc,LexNET for Noun Compound Relation Classification,TensorFlow
https://github.com/tensorflow/models/tree/master/research/tensorrt,Running the TensorFlow Official ResNet with TensorRT,TensorFlow
https://github.com/apache/incubator-mxnet/tree/master/example/distributed_training,example/distributed_training,MXNet
https://github.com/apache/incubator-mxnet/tree/master/example/restricted-boltzmann-machine,example/restricted-boltzmann-machine,MXNet
https://github.com/tensorflow/models/tree/master/research/compression,Compression with Neural Networks,TensorFlow
https://github.com/tensorflow/models/tree/master/research/adv_imagenet_models,Adversarially trained ImageNet models,TensorFlow
https://github.com/tensorflow/models/tree/master/research/cvt_text,Cross-View Training,TensorFlow
https://github.com/caffe2/models/tree/master/style_transfer/hands,style_transfer/hands,Caffe2
https://github.com/tensorflow/models/tree/master/research/neural_programmer,Neural Programmer,TensorFlow
https://github.com/caffe2/models/tree/master/mobilenet_v2,mobilenet_v2,Caffe2
https://github.com/tensorflow/models/tree/master/research/learning_to_remember_rare_events,Code for the Memory Module as described,TensorFlow
https://github.com/caffe2/models/tree/master/style_transfer/dots_b,style_transfer/dots_b,Caffe2
https://github.com/caffe2/models/tree/master/style_transfer/gothic_b,style_transfer/gothic_b,Caffe2
https://github.com/tensorflow/models/tree/master/research/object_detection,Tensorflow Object Detection API,TensorFlow
https://github.com/tensorflow/models/tree/master/research/a3c_blogpost,A3C Blog Post,TensorFlow
https://github.com/keras-team/keras/blob/master/examples/imdb_bidirectional_lstm.py,#Trains a Bidirectional LSTM on the IMDB sentiment classification task.,Keras
https://github.com/keras-team/keras/blob/master/examples/mnist_hierarchical_rnn.py,Example of using Hierarchical RNN (HRNN) to classify MNIST digits.,Keras
https://github.com/tensorflow/models/tree/master/research/lm_1b,Language Model on One Billion Word Benchmark,TensorFlow
https://github.com/caffe2/models/tree/master/style_transfer/muse_a,style_transfer/muse_a,Caffe2
https://github.com/caffe2/models/tree/master/style_transfer/flowers_a,style_transfer/flowers_a,Caffe2
https://github.com/tensorflow/models/tree/master/research/gan,TFGAN Examples,TensorFlow
https://github.com/keras-team/keras/blob/master/examples/lstm_seq2seq_restore.py,#Restore a character-level sequence to sequence model from to generate predictions.,Keras
https://github.com/apache/incubator-mxnet/tree/master/example/sparse,example/sparse,MXNet
https://github.com/apache/incubator-mxnet/tree/master/example/gan,example/gan,MXNet
https://github.com/caffe2/models/tree/master/style_transfer/portrait,style_transfer/portrait,Caffe2
https://github.com/caffe2/models/tree/master/style_transfer/femme,style_transfer/femme,Caffe2
https://github.com/caffe2/models/tree/master/style_transfer/muse_b,style_transfer/muse_b,Caffe2
https://github.com/caffe2/models/tree/master/style_transfer/pinnacle_a,style_transfer/pinnacle_a,Keras
https://github.com/keras-team/keras/blob/master/examples/lstm_text_generation.py,#Example script to generate text from Nietzsche's writings.,Keras
https://github.com/tensorflow/models/tree/master/research/namignizer,Namignizer,TensorFlow
https://github.com/caffe2/models/tree/master/bvlc_reference_rcnn_ilsvrc13,bvlc_reference_rcnn_ilsvrc13,Caffe2
https://github.com/keras-team/keras/blob/master/examples/deep_dream.py,#Deep Dreaming in Keras.,Keras
https://github.com/keras-team/keras/blob/master/examples/mnist_cnn.py,Trains a simple convnet on the MNIST dataset.,Keras
https://github.com/apache/incubator-mxnet/tree/master/example/multivariate_time_series,example/multivariate_time_series,MXNet
https://github.com/pytorch/examples/tree/master/regression,Linear regression example,PyTorch
https://github.com/tensorflow/models/tree/master/research/nst_blogpost,research/nst_blogpost,TensorFlow
https://github.com/apache/incubator-mxnet/tree/master/example/captcha,example/captcha,MXNet
https://github.com/caffe2/models/tree/master/style_transfer/triangle2_b,style_transfer/triangle2_b,Caffe2
https://github.com/tensorflow/models/tree/master/research/lm_commonsense,A Simple Method for Commonsense Reasoning,TensorFlow
https://github.com/keras-team/keras/blob/master/examples/imdb_cnn.py,#This example demonstrates the use of Convolution1D for text classification.,Keras
https://github.com/tensorflow/models/tree/master/research/inception,"For performance benchmarking, please see https://www.tensorflow.org/performance/benchmarks.",TensorFlow
https://github.com/apache/incubator-mxnet/tree/master/example/named_entity_recognition,example/named_entity_recognition,MXNet
https://github.com/caffe2/models/tree/master/style_transfer/rug_d,style_transfer/rug_d,Caffe2
https://github.com/apache/incubator-mxnet/tree/master/example/reinforcement-learning,example/reinforcement-learning,MXNet
https://github.com/tensorflow/models/tree/master/research/deep_contextual_bandits,Deep Bayesian Bandits Library,TensorFlow
https://github.com/caffe2/models/tree/master/mask_rcnn_2go,MaskRCNN2GO Model,Caffe2
https://github.com/pytorch/examples/tree/master/mnist_hogwild,mnist_hogwild,PyTorch
https://github.com/keras-team/keras/blob/master/examples/tensorboard_embeddings_mnist.py,Trains a simple convnet on the MNIST dataset and embeds test data.,Keras
https://github.com/tensorflow/models/tree/master/research/learning_unsupervised_learning,Learning Unsupervised Learning Rules,TensorFlow
https://github.com/tensorflow/models/tree/master/official/wide_deep,Predicting Income with the Census Income Dataset,TensorFlow
https://github.com/apache/incubator-mxnet/tree/master/example/adversary,example/adversary,MXNet
https://github.com/caffe2/models/tree/master/style_transfer/faceshape_b,style_transfer/faceshape_b,Caffe2
https://github.com/caffe2/models/tree/master/style_transfer/tiger_a,style_transfer/tiger_a,Caffe2
https://github.com/apache/incubator-mxnet/tree/master/example/svrg_module,example/svrg_module,MXNet
https://github.com/apache/incubator-mxnet/tree/master/example/recommenders,example/recommenders,MXNet
https://github.com/apache/incubator-mxnet/tree/master/example/multi-task,example/multi-task,MXNet
