repo_url,name,type,type2,type3
https://github.com/karlstratos/singular,Singular (C++),arxiv,na,na
https://github.com/andyreagan/twitter-reply-networks,Making networks from twitter!,arxiv,na,na
https://github.com/facebook/NAMAS,Attention-Based Summarization,arxiv,na,na
https://github.com/blei-lab/edward,"Edward is a Python library for probabilistic modeling,",arxiv,na,na
https://github.com/dmlc/ps-lite,ps-lite,arxiv,na,na
https://github.com/openai/baselines,Baselines,arxiv,na,na
https://github.com/comphist/norma,Norma,arxiv,na,na
https://github.com/lonePatient/bert-sentence-similarity-pytorch,Bert sentence similarity by PyTorch,sota,na,na
https://github.com/dk67604/ImageToImageTranslation,ImageToImageTranslation,sota,na,na
https://github.com/tensorflow/models/tree/master/research/deeplab,DeepLab: Deep Labelling for Semantic Image Segmentation,na,model-zoo,na
https://github.com/phuijse/MATIC,MATIC,sota,na,na
https://github.com/CZWin32768/seqmnist,Sequence MNIST,sota,na,na
https://github.com/haanvid/CL1AD,Compositionality-Level-1-Action-Dataset,arxiv,na,na
https://github.com/joonleesky/DeepLearning_Reimplementations,Own re-implementations of key ml papers,sota,na,na
https://github.com/facebookresearch/video-nonlocal-net,Non-local Neural Networks for Video Classification,sota,na,na
https://github.com/janelia-flyem/dvid,DVID       ![Picture](http://www.janelia.org),arxiv,na,na
https://github.com/izmailovpavel/TTGP,Tensor Train Gaussian Processes in TensorFlow.,arxiv,na,na
https://github.com/SimoneCaldarella/facialRecognition,What is the project?,sota,na,na
https://github.com/kangyiS/caffe_ky,SSD: Single Shot MultiBox Detector,sota,na,na
https://github.com/neerajdhanraj/PSF,PSF,arxiv,na,na
https://github.com/deepmind/rc-data,Question Answering Corpus,arxiv,na,na
https://github.com/JasperSnoek/spearmint,New code repository!,arxiv,na,na
https://github.com/berndbischl/parallelMap,parallelMap,arxiv,na,na
https://github.com/yeonwoo90/convs,convs,sota,na,na
https://github.com/raun1/MICCAI2018---Complementary_Segmentation_Network-Raw-Code-Available-Under-Construction-,Complementary_Segmentation_Network (Outperforms u-nets everytime :) for binary segmentation ),sota,na,na
https://github.com/weiyangfb/PyTorchSparseGAT,Pytorch Graph Attention Network,sota,na,na
https://github.com/haje01/impala,impala,sota,na,na
https://github.com/fanny-yang/MABFDR,MABFDR,arxiv,na,na
https://github.com/rrahmati/roboinstruct-2,RoboInstruct-2,arxiv,na,na
https://github.com/neeleshkshukla/Entity-Role-Detection-Paper,Entity-Role-Detection-Paper,sota,na,na
https://github.com/anordio/img-classifier-ships,img-classifier-ships,sota,na,na
https://github.com/renll/RSAM,Recurrent Soft Attention Model,arxiv,na,na
https://github.com/Natsu6767/Generating-Devanagari-Using-DRAW,Generating-Devanagari-Using-DRAW,sota,na,na
