Title,Domain,Datasets,GIT link
Hierarchical Multi-Scale Attention for Semantic Segmentation Edit social previewHierarchical Multi-Scale Attention for Semantic Segmentation Edit social preview,"['PANOPTIC SEGMENTATION', 'SEMANTIC SEGMENTATION']","['', ' Mapillary Vistas Dataset ', ' Cityscapes ']",['https://github.com/NVIDIA/semantic-segmentation']
Rethinking Pre-training and Self-training Edit social previewRethinking Pre-training and Self-training Edit social preview,"['OBJECT DETECTION', 'DATA AUGMENTATION', 'SEMANTIC SEGMENTATION']","['', ' ImageNet ', ' JFT-300M ', ' COCO ', ' PASCAL VOC ', ' Objects365 ']","['https://github.com/stanleyjzheng/PyData', 'https://github.com/tensorflow/tpu/tree/master/models/official/detection/projects/self_training']"
ResNeSt: Split-Attention Networks Edit social previewResNeSt: Split-Attention Networks Edit social preview,"['PANOPTIC SEGMENTATION', 'OBJECT DETECTION', 'INSTANCE SEGMENTATION', 'IMAGE CLASSIFICATION', 'TRANSFER LEARNING', 'SEMANTIC SEGMENTATION']","['', ' COCO ', ' Cityscapes ', ' ADE20K ', ' PASCAL Context ']","['https://github.com/zhanghang1989/detectron2-ResNeSt', 'https://github.com/dmlc/gluon-cv', 'https://github.com/thepooons/melanoma-comp-2020', 'https://github.com/PaddlePaddle/PaddleClas', 'https://github.com/zhanghang1989/PyTorch-Encoding', 'https://github.com/YeongHyeon/ResNeSt-TF2', 'https://github.com/open-mmlab/mmdetection', 'https://github.com/STomoya/ResNeSt', 'https://github.com/ferna11i/detectron2_ResNeST', 'https://github.com/He-jerry/DSSNet', 'https://github.com/shellhue/detectron2-ResNeSt', 'https://github.com/zhanghang1989/ResNeSt', 'https://github.com/ZJCV/ZCls', 'https://github.com/n2cholas/jax-resnet', 'https://github.com/osmr/imgclsmob', 'https://github.com/sailfish009/detectron2-ResNeSt', 'https://github.com/Burf/ResNeSt-Tensorflow2', 'https://github.com/RobertHong1992/Resnest']"
Virtual Multi-view Fusion for 3D Semantic Segmentation Edit social previewVirtual Multi-view Fusion for 3D Semantic Segmentation Edit social preview,"['3D SEMANTIC SEGMENTATION', 'SEMANTIC SEGMENTATION', 'SCENE UNDERSTANDING']","['', ' InteriorNet ', ' ScanNet ', ' ADE20K ']",[]
RandLA-Net: Efficient Semantic Segmentation of Large-Scale Point Clouds Edit social previewRandLA-Net: Efficient Semantic Segmentation of Large-Scale Point Clouds Edit social preview,"['3D SEMANTIC SEGMENTATION', 'SEMANTIC SEGMENTATION']","['', ' Semantic3D ', ' SemanticKITTI ']","['https://github.com/aRI0U/RandLA-Net-pytorch', 'https://github.com/intel-isl/Open3D-ML', 'https://github.com/QingyongHu/RandLA-Net']"
Point Transformer Edit social previewPoint Transformer Edit social preview,"['OBJECT CLASSIFICATION', '3D PART SEGMENTATION', 'SCENE SEGMENTATION', 'OBJECT DETECTION', 'IMAGE CLASSIFICATION', '3D POINT CLOUD CLASSIFICATION', 'SEMANTIC SEGMENTATION']","['', ' S3DIS ', ' ModelNet ']",['https://github.com/lucidrains/point-transformer-pytorch']
Scene Segmentation with Dual Relation-aware Attention Network Edit social previewScene Segmentation with Dual Relation-aware Attention Network Edit social preview,"['SEMANTIC SEGMENTATION', 'SCENE SEGMENTATION']","['', ' COCO-Stuff ']",['https://github.com/junfu1115/DRAN']
Self-Correction for Human Parsing Edit social previewSelf-Correction for Human Parsing Edit social preview,"['HUMAN PARSING', 'HUMAN PART SEGMENTATION', 'SEMANTIC SEGMENTATION']","['', ' ImageNet ', ' COCO ', ' PASCAL-Person-Part ', ' LIP ']",['https://github.com/PeikeLi/Self-Correction-Human-Parsing']
SGPN: Similarity Group Proposal Network for 3D Point Cloud Instance Segmentation Edit social previewSGPN: Similarity Group Proposal Network for 3D Point Cloud Instance Segmentation Edit social preview,"['3D SEMANTIC INSTANCE SEGMENTATION', '3D INSTANCE SEGMENTATION', '3D OBJECT DETECTION', '3D PART SEGMENTATION', 'SCENE SEGMENTATION', 'INSTANCE SEGMENTATION', 'OBJECT DETECTION', 'SEMANTIC SEGMENTATION']","['', ' ShapeNet ', ' ScanNet ', ' NYUv2 ']",['https://github.com/laughtervv/SGPN']
CascadePSP: Toward Class-Agnostic and Very High-Resolution Segmentation via Global and Local Refinement Edit social previewCascadePSP: Toward Class-Agnostic and Very High-Resolution Segmentation via Global and Local Refinement Edit social preview,"['SCENE PARSING', 'SEMANTIC SEGMENTATION']","['', ' DUT-OMRON ', ' ADE20K ', ' BIG ']",['https://github.com/hkchengrex/CascadePSP']
