name,repo_url,correct
PointNet++: *Deep Hierarchical Feature Learning on Point Sets in a Metric Space*,https://github.com/lijinglezhang/pointnet-_modify,Y
PanPhon,https://github.com/dmort27/panphon,Y
video_obj,https://github.com/guanfuchen/video_obj,Y
SafeCV,https://github.com/matthewwicker/SafeCV,Y
Async-RL,https://github.com/muupan/async-rl,Y
example/ctc,https://github.com/apache/incubator-mxnet/tree/master/example/ctc,N
Tribler,https://github.com/Tribler/tribler,Y
tf-YOLO-pascalVOC,https://github.com/jiama843/tf-YOLO-pascalVOC,Y
IPsolve,https://github.com/saravkin/IPsolve,Y
TADPOLE,https://github.com/noxtoby/TADPOLE,Y
VGGNet-CNN-architecture,https://github.com/Aniket7/VGGNet-CNN-architecture,Y
Modified-mnist,https://github.com/lxdragoon/Modified-mnist,Y
Multilingual Translation,https://github.com/DevSinghSachan/multilingual_nmt,Y
ERNIE,https://github.com/thunlp/ERNIE,Y
End2You - The Imperial Toolkit for Multimodal Profiling,https://github.com/end2you/end2you,Y
#VSM,https://github.com/inpho/vsm,N
FAR-HO,https://github.com/lucfra/FAR-HO,Y
"py-faster-rcnn has been deprecated. Please see Detectron, which includes an implementation of [Mask R-CNN](https://arxiv.org/abs/1703.06870).",https://github.com/rickyHong/py-faster-rcnn-repl,N
Attention is all you need: A Pytorch Implementation,https://github.com/jadore801120/attention-is-all-you-need-pytorch,Y
incubator-mxnet,https://github.com/apache/incubator-mxnet,Y
HR101-MXNet,https://github.com/chinakook/hr101_mxnet,Y
PyDenseCRF,https://github.com/lucasb-eyer/pydensecrf,Y
Sodeep's Final Project,https://github.com/wonjaek36/sodeep_final,Y
tiny-dqn,https://github.com/jonaths/tf-dqn,Y
myWatchedProjects,https://github.com/kjaft/myWatchedProjects,Y
MATIC,https://github.com/phuijse/MATIC,Y
NeuralTalk2,https://github.com/karpathy/neuraltalk2,Y
This repository contains the code that was used for the Sequential,https://github.com/cooijmanstim/recurrent-batch-normalization,N
WSL-Images,https://github.com/facebookresearch/WSL-Images,Y
OctaveConv,https://github.com/terrychenism/OctaveConv,Y
NIPS'14-SSL,https://github.com/dpkingma/nips14-ssl,Y
StyleGAN &mdash; Official TensorFlow Implementation,https://github.com/NVlabs/stylegan,Y
Readme,https://github.com/Styrke/master-code,N
pupiltracker,https://github.com/LeszekSwirski/pupiltracker,Y
TinyYOLOv2 in Tensorflow made easier,https://github.com/simo23/tinyYOLOv2,Y
BREXIT-APPLICATION,https://github.com/wbglaeser/brexit-sentiment,Y
Tars,https://github.com/masa-su/Tars,Y
Tensorflow TCN,https://github.com/Baichenjia/Tensorflow-TCN,Y
RelVis,https://github.com/SchmaR/RelVis,Y
We move forward to MXNet !,https://github.com/dmlc/cxxnet,N
RL_example,https://github.com/sjYoondeltar/IQN_example,Y
Argus solution TGS Salt Identification Challenge,https://github.com/lRomul/argus-tgs-salt,Y
DropIn-ESN,https://github.com/FrancescoCrecchi/DropIn-ESN,Y
seqlearn,https://github.com/larsmans/seqlearn,Y
Efficient Neural Architecture Search via Parameter Sharing,https://github.com/Ezereal/enas,Y
fine_tuning_VGG16,https://github.com/evvyy/fine_tuning_VGG16,Y
RDSA,https://github.com/prashla/RDSA,Y
Unsupervised Machine Translation,https://github.com/facebookresearch/UnsupervisedMT,Y
Multi-Graph Convolutional Neural Networks,https://github.com/fmonti/mgcnn,Y
MTCNN face detection & alignment all in TensorFlow,https://github.com/wanjinchang/MTCNN_USE_TF_E2E,Y
pedestrian_recognition,https://github.com/cftang0827/human_recognition,Y
stance-conditional,https://github.com/sheffieldnlp/stance-conditional,Y
*SphereFace*: Deep Hypersphere Embedding for Face Recognition,https://github.com/vohoaiviet/sphereface,N
replika-research,https://github.com/lukalabs/replika-research,Y
A Generative Model for Volume Rendering,https://github.com/matthewberger/tfgan,Y
Progressive Growing of GANs,https://github.com/hukkelas/progan-pytorch,Y
A network for handwritten digit string recognition (HDSR) with RNN and CTC in Caffe.,https://github.com/LPAIS/HDSR-with-RNN,Y
KGraph: A Library for Approximate Nearest Neighbor Search,https://github.com/aaalgo/kgraph,Y
self-driving-car,https://github.com/udacity/self-driving-car,Y
Harmonic Networks,https://github.com/matej-ulicny/harmonic-networks,Y
Simultaneous Edge Alignment and Learning (SEAL),https://github.com/Chrisding/seal,Y
perez,https://github.com/nbatfai/perez,Y
OCNet: Object Context Network for Scene Parsing (pytorch),https://github.com/PkuRainBow/OCNet.pytorch,Y
Keras Resnext Feature Pyramid Network,https://github.com/guilherme-pombo/keras_resnext_fpn,Y
Bayesian Poisson tensor factorization,https://github.com/aschein/bptf,Y
Word Embedding Visual Inspector,https://github.com/ronxin/wevi,Y
flownet2-pytorch,https://github.com/NVIDIA/flownet2-pytorch,Y
COCO API - http://cocodataset.org/,https://github.com/cocodataset/cocoapi,Y
CNNs for Text Classification in PyTorch,https://github.com/threelittlemonkeys/text-cnn-pytorch,Y
Voice Converter using deep learning.,https://github.com/mindmapper15/Voice-Converter,Y
Dehaze-GAN,https://github.com/thatbrguy/Dehaze-GAN,Y
Introduction,https://github.com/AlexGrinch/ro_sgns,N
tf-faster-rcnn is deprecated:,https://github.com/Sunnyhoster/tf-faster-rcnn,N
DenseMapNet,https://github.com/roatienza/densemapnet,Y
bAbI tasks,https://github.com/facebook/bAbI-tasks,Y
semantic-tagging,https://github.com/bjerva/semantic-tagging,Y
/********************************************************************,https://github.com/mingyuliutw/ers,N
Pretrained models for Pytorch (Work in progress),https://github.com/Cadene/pretrained-models.pytorch,Y
Chainer implementation of non-negative PU learning and unbiased PU learning,https://github.com/kiryor/nnPUlearning,Y
Zoph\_RNN: A C++/CUDA toolkit for training sequence and sequence-to-sequence models across multiple GPUs,https://github.com/isi-nlp/Zoph_RNN,N
EfficientNet-Gluon,https://github.com/mnikitin/EfficientNet,Y
BERT,https://github.com/Laura1021678398/CCF-Bert,N
____________ Transfer Learning,https://github.com/jindongwang/transferlearning,Y
gym_connect4,https://github.com/RandyDeng/gym_connect4,Y
Simultaneous Edge Alignment and Learning (SEAL),https://github.com/zhusiling/SEAL,Y
F# XDF 2018 Workshop,https://github.com/XDF2018/ML_Embedded_Workshop,N
tvmodels,https://github.com/rohitgr7/tvmodels,Y
Plant Classification with Lasagne/Theano,https://github.com/IgnacioHeredia/plant_classification,Y
mainumby,https://github.com/hltdi/mainumby,Y
APE-GAN in Tensorflow,https://github.com/shenqixiaojiang/APE-GAN,Y
FractalNet: Ultra-deep neural networks without residuals,https://github.com/khanrc/pt.fractalnet,Y
Attention Transfer,https://github.com/szagoruyko/attention-transfer,Y
Introduction,https://github.com/somnath-banerjee/deep,N
ML Models,https://github.com/Hayashi-Yudai/ML_models,Y
GPflow,https://github.com/GPflow/GPflow,Y
Experiments using Feedforward Networks with Attention,https://github.com/craffel/ff-attention,Y
A Deep Network for Arousal-Valence Emotion Prediction with Acoustic-Visual Cues,https://github.com/pengsongyou/OMG-ADSC,Y
Marvin,https://github.com/aikanor/marvin,Y
SARC,https://github.com/NLPrinceton/SARC,Y
CNN_BILSTM_CRF - tensorflow,https://github.com/XiafeiYu/CNN_BILSTM_CRF,Y
Boosted Generative Models,https://github.com/ermongroup/bgm,Y
Domain Spesific Question Answering Assistant,https://github.com/umutguneri/Question-Answering-Assistant,Y
HanLP: Han Language Processing,https://github.com/hankcs/HanLP,Y
Embarrasingly distributed parallel loop on clusters of computers,https://github.com/arjoly/clusterlib,Y
Goldfinch: GOogLe image-search Dataset for FINe grained CHallenges,https://github.com/google/goldfinch,Y
Face-Recognition-And-Verification,https://github.com/keshav47/Face-Recognition-And-Verification,Y
Pytorch implementation of Pipeline Model Parallelism as described in Google AI article https://arxiv.org/pdf/1811.06965.pdf,https://github.com/alondj/Pytorch-Gpipe,Y
bilm-tf,https://github.com/horizonheart/ELMO,Y
PyTorch SRResNet,https://github.com/sdauzcm/SR-pytorch-SRResNet,Y
Integrated Gradients,https://github.com/ankurtaly/Attributions,Y
Kateglo,https://github.com/ivanlanin/kateglo,Y
Unsupervised Data Augmentation,https://github.com/peisuke/UnsupervisedDataAugmentation.pytorch,Y
A port of SSD: Single Shot MultiBox Detector to [Keras](https://keras.io) framework.,https://github.com/NextGuido/SSD-keras,N
Tutorial-of-Graph-Neural-Network,https://github.com/trichtu/Tutorial-of-Graph-Neural-Network,Y
py-faster-rcnn,https://github.com/guanfuchen/py-faster-rcnn,Y
The VGLC,https://github.com/TheVGLC/TheVGLC,Y
SparQ,https://github.com/dwolter/sparq,Y
MLND_Capstone_Project,https://github.com/soham239/MLND_Capstone_Project,Y
bootstrapped - confidence intervals made easy,https://github.com/facebookincubator/bootstrapped,Y
Self-critical Sequence Training for Image Captioning (+ misc.),https://github.com/hjjpku/dynamic_graph_caption,Y
Neural Style Transfer : Generating art using Deep Learning,https://github.com/SupratimH/neural-style-transfer,Y
PIP-experiments,https://github.com/aaaasssddf/PIP-experiments,Y
Code accompanying our Dist-GAN and [GN-GAN](https://arxiv.org/abs/1811.01333) (update soon) papers.,https://github.com/tntrung/gan,N
Spike-GAN,https://github.com/manuelmolano/Spike-GAN,Y
Introduction,https://github.com/carlosb1/upc-aidl-19-team4,N
1/12/14,https://github.com/NovembreLab/Novembre_etal_2008_misc,N
```,https://github.com/yangboz/TransferLearning4Dentist,N
QANet,https://github.com/NLPLearn/QANet,Y
Learning a Single Convolutional Super-Resolution Network for Multiple Degradations,https://github.com/cszn/SRMD,Y
m2det-tf(WIP)(Unusable),https://github.com/cjpurackal/m2det-tf,Y
PatchBatch - a Batch Augmented Loss for Optical Flow,https://github.com/DediGadot/PatchBatch,Y
ESNet,https://github.com/xiaoyufenfei/ESNet,Y
ComputerVisionTensorFlowMLNET,https://github.com/CESARDELATORRE/ComputerVisionTensorFlowMLNET,Y
DeepLearning5922,https://github.com/DivJAth/DeepLearning5922,Y
Kernel Activation Functions,https://github.com/ispamm/kernel-activation-functions,Y
![Shoelace](https://github.com/rjagerman/shoelace),https://github.com/rjagerman/shoelace,N
________________�_____________________________________,https://github.com/sheldonnnn/exception,Y
OMG_UMONS_submission,https://github.com/jbdel/OMG_UMONS_submission,Y
isic-2017-segmentation,https://github.com/learningtitans/isbi2017-part1,Y
COCO API - http://cocodataset.org/,https://github.com/pdollar/coco,Y
forecast,https://github.com/robjhyndman/forecast,Y
English - ______,https://github.com/mikevoets/jama16-retina-replication,N
WMH Segmentation Challenge - MICCAI 2017,https://github.com/hjkuijf/wmhchallenge,Y
honk,https://github.com/castorini/honk,N
Bayesian Generative Adversarial Networks in Tensorflow,https://github.com/KeAWang/BayesianGAN4AdversarialAttacks,Y
adnn,https://github.com/dritchie/adnn,Y
By Plataformatec.,https://github.com/plataformatec/devise,N
dynet,https://github.com/clab/dynet,Y
Space-Invaders-DQN,https://github.com/Jzar/Space-Invaders-DQN,Y
Materials Science Word Embeddings,https://github.com/olivettigroup/materials-word-embeddings,Y
