paper,repo,found
cross-lingual language model pretraining,https://github.com/facebookresearch/XLM,Y
cross-lingual language model pretraining,https://github.com/facebookresearch/UnsupervisedMT,Y
cross-lingual language model pretraining,https://github.com/tianxin1860/Papers,N
cross-lingual language model pretraining,https://github.com/Somefive/XNLI,Y
cross-lingual language model pretraining,https://github.com/xutaatmicrosoftdotcom/MASS,N
unsupervised neural machine translation with smt as posterior regularization,https://github.com/Imagist-Shuo/UNMT-SPR,N
phrase-based & neural unsupervised machine translation,https://github.com/facebookresearch/XLM,Y
phrase-based & neural unsupervised machine translation,https://github.com/facebookresearch/UnsupervisedMT,Y
phrase-based & neural unsupervised machine translation,https://github.com/xutaatmicrosoftdotcom/MASS,N
phrase-based & neural unsupervised machine translation,https://github.com/Helsinki-NLP/shared-info,Y
unsupervised statistical machine translation,https://github.com/artetxem/vecmap,N
unsupervised statistical machine translation,https://github.com/artetxem/monoses,Y
edinburgh neural machine translation systems for wmt 16,https://github.com/rsennrich/wmt16-scripts,N
understanding back-translation at scale,https://github.com/pytorch/fairseq,N
understanding back-translation at scale,https://github.com/facebookresearch/fairseq-py,N
scaling neural machine translation,https://github.com/pytorch/fairseq,N
scaling neural machine translation,https://github.com/facebookresearch/fairseq-py,N
pay less attention with lightweight and dynamic convolutions,https://github.com/pytorch/fairseq,N
self-attention with relative position representations,https://github.com/tensorflow/tensor2tensor,Y
self-attention with relative position representations,https://github.com/mawright/attn_rl,Y
weighted transformer network for machine translation,https://github.com/xrick/PyTorch_Transformer,Y
weighted transformer network for machine translation,https://github.com/JayParks/transformer,Y
weighted transformer network for machine translation,https://github.com/duyvuleo/Transformer-DyNet,Y
the evolved transformer,https://github.com/tensorflow/tensor2tensor,Y
convolutional sequence to sequence learning,https://github.com/stefannatu/NLP-Translation-Models,Y
convolutional sequence to sequence learning,https://github.com/oneTimePad/conv-nmt,Y
convolutional sequence to sequence learning,https://github.com/CKPOON0619/Kaggle2Sigma,Y
convolutional sequence to sequence learning,https://github.com/phanideepgampa/IM2LATEX,Y
convolutional sequence to sequence learning,https://github.com/facebookresearch/fairseq,Y
convolutional sequence to sequence learning,https://github.com/Kakoedlinnoeslovo/fairseq,Y
convolutional sequence to sequence learning,https://github.com/Izecson/saml-nmt,N
convolutional sequence to sequence learning,https://github.com/facebookresearch/ParlAI,N
convolutional sequence to sequence learning,https://github.com/Deeksha96/Im2Latex,Y
convolutional sequence to sequence learning,https://github.com/somnath-banerjee/deep,Y
convolutional sequence to sequence learning,https://github.com/facebookresearch/fairseq-py,N
convolutional sequence to sequence learning,https://github.com/Izecson/sockeye-1.16.6,Y
convolutional sequence to sequence learning,https://github.com/awslabs/sockeye,Y
convolutional sequence to sequence learning,https://github.com/shashiongithub/XSum,Y
attention is all you need,https://github.com/shuo-git/THUMT-UNCERTAINTY,Y
attention is all you need,https://github.com/yueyongjiao/attention_is_all_you_need-GPU,Y
attention is all you need,https://github.com/zysite/post,N
attention is all you need,https://github.com/asfathermou/human-computer-interaction,Y
attention is all you need,https://github.com/shuaishuaij/Machine-Translation,Y
attention is all you need,https://github.com/guoyaohua/BERT-Chinese-Annotation,Y
attention is all you need,https://github.com/awslabs/sockeye,Y
attention is all you need,https://github.com/TSLNIHAOGIT/bert,Y
attention is all you need,https://github.com/Laura1021678398/CCF-Bert,Y
attention is all you need,https://github.com/nathananderson94/PortugueseMT,Y
attention is all you need,https://github.com/SYangDong/bert-with-frozen-code,Y
attention is all you need,https://github.com/Nstats/bert_MRC,Y
attention is all you need,https://github.com/Shasvat-Desai/Shasvat-Desai,Y
attention is all you need,https://github.com/Satan012/BERT,Y
attention is all you need,https://github.com/antoinecollas/transformer_neural_machine_translation,Y
attention is all you need,https://github.com/semal/bert,Y
attention is all you need,https://github.com/guillaume-chevalier/Linear-Attention-Recurrent-Neural-Network,Y
attention is all you need,https://github.com/xiaopingzhong/bert-finetune-for-classfier,Y
attention is all you need,https://github.com/natel9178/transformer-refork,Y
attention is all you need,https://github.com/ZmeiGorynych/transformer_pytorch,Y
attention is all you need,https://github.com/svakulenk0/response_eval,Y
attention is all you need,https://github.com/socc-io/piqaboo,Y
attention is all you need,https://github.com/yumoh/speech-keras,Y
attention is all you need,https://github.com/mayurnewase/Quora-Bert,Y
attention is all you need,https://github.com/MichaelZhouwang/LMlexsub,Y
attention is all you need,https://github.com/mawright/attn_rl,Y
attention is all you need,https://github.com/omallo/kaggle-hpa,Y
attention is all you need,https://github.com/rpuiggari/bert2,Y
attention is all you need,https://github.com/dreamnotover/english_chinese_machine_translation_baseline,Y
attention is all you need,https://github.com/mayurnewase/Translation,Y
attention is all you need,https://github.com/jageshmaharjan/BERT_Service,N
attention is all you need,https://github.com/woonzh/semantics,Y
attention is all you need,https://github.com/akikaaa/Transformer,N
attention is all you need,https://github.com/mflotynski/ninja-bert,Y
attention is all you need,https://github.com/threelittlemonkeys/transformer-pytorch,Y
attention is all you need,https://github.com/gittb/audiosandbox,Y
attention is all you need,https://github.com/phohenecker/pytorch-transformer,Y
attention is all you need,https://github.com/WenYanger/General-Transformer-Pytorch,Y
attention is all you need,https://github.com/jbdel/OMG_UMONS_submission,Y
attention is all you need,https://github.com/jsalt18-sentence-repl/jiant,N
attention is all you need,https://github.com/LoveYang/bert_test,N
attention is all you need,https://github.com/wayalhruhi/gogle_bert,Y
attention is all you need,https://github.com/TSLNIHAOGIT/bert_run,Y
attention is all you need,https://github.com/goldenbili/Bert_Test3,Y
attention is all you need,https://github.com/GlassyWing/transformer-keras,Y
attention is all you need,https://github.com/benjamintaiwo/Attention,Y
attention is all you need,https://github.com/dmlc/gluon-nlp,N
attention is all you need,https://github.com/IrishCoffee/cudnnMultiHeadAttention,Y
attention is all you need,https://github.com/dreamgonfly/Transformer-pytorch,Y
attention is all you need,https://github.com/Izecson/sockeye-1.16.6,Y
attention is all you need,https://github.com/lovedavidsilva/bert_old_version,Y
attention is all you need,https://github.com/zhongyunuestc/bert_multitask,Y
attention is all you need,https://github.com/shaikhzhas/bert,Y
attention is all you need,https://github.com/derylucio/Transformer,Y
attention is all you need,https://github.com/icewing1996/bert_dep,Y
attention is all you need,https://github.com/yanqi1811/attention-is-all-you-need,Y
attention is all you need,https://github.com/zapplea/bert,Y
attention is all you need,https://github.com/Colanim/BERT_STS-B,Y
attention is all you need,https://github.com/zsweet/BERT_zsw,Y
attention is all you need,https://github.com/graykode/nlp-tutorial,Y
attention is all you need,https://github.com/longbowking/bert,Y
attention is all you need,https://github.com/ethancaballero/neural-engineers-first-attempt,Y
attention is all you need,https://github.com/Helsinki-NLP/shared-info,Y
attention is all you need,https://github.com/freedombenLiu/bert,Y
attention is all you need,https://github.com/nmfisher/bert-modified,Y
attention is all you need,https://github.com/kingcheng2000/bert,Y
attention is all you need,https://github.com/Doffery/BERT-Sentiment-Analysis-Amazon-Review,N
attention is all you need,https://github.com/saurabhgupta17888/BERT,N
attention is all you need,https://github.com/jean-kunz/ml_research_papers,Y
attention is all you need,https://github.com/HKUST-KnowComp/R-Net,Y
attention is all you need,https://github.com/soskek/attention_is_all_you_need,Y
attention is all you need,https://github.com/saurabhnlp/bert,Y
attention is all you need,https://github.com/tcxdgit/MachineTranslation_t2t,Y
attention is all you need,https://github.com/dl-nlp/dl-nlp.github.io,Y
attention is all you need,https://github.com/tjrwlgns1198/ChatBot,N
attention is all you need,https://github.com/anoidgit/transformer,Y
attention is all you need,https://github.com/pomonam/AttentionCluster,Y
attention is all you need,https://github.com/yydai/bert_test,Y
attention is all you need,https://github.com/brandontrabucco/scaled_dot_product_attention,Y
attention is all you need,https://github.com/yueyongjiao/Transformer-Contextual,Y
attention is all you need,https://github.com/jgcbrouns/Introducing-Sparsity-in-the-Transformer,Y
attention is all you need,https://github.com/tyxr/bert,Y
attention is all you need,https://github.com/jadore801120/attention-is-all-you-need-pytorch,Y
attention is all you need,https://github.com/audier/DeepSpeechRecognition,Y
attention is all you need,https://github.com/arvieFrydenlund/bert,Y
attention is all you need,https://github.com/facebookresearch/fairseq-py,N
attention is all you need,https://github.com/guzhang480/Google_BERT,Y
attention is all you need,https://github.com/gxdalu-yaya/bert,Y
attention is all you need,https://github.com/layziezz/tesuto,Y
attention is all you need,https://github.com/xbtlin/All-about-Machine-Learning,Y
attention is all you need,https://github.com/gychant/attention-is-all-you-need-pytorch,N
attention is all you need,https://github.com/nietao2/DeepSpeechRecognition,N
attention is all you need,https://github.com/chen-xiong-yi/OwnBERT,Y
attention is all you need,https://github.com/XUJitao/WordEmbedding,Y
attention is all you need,https://github.com/DandyQi/bert-learning,N
attention is all you need,https://github.com/Izecson/saml-nmt,N
attention is all you need,https://github.com/Belval/NRTR,N
attention is all you need,https://github.com/myamamoto555/tf-bert,N
attention is all you need,https://github.com/kaituoxu/Speech-Transformer,Y
attention is all you need,https://github.com/insigh/THUMT,Y
