name,repo_url,extracted_properties,missing_properties,correct_properties,Precision,Recall,F1
OntExt,https://github.com/MaLL-UFSCar/ontext,7,1,5,0.714285714,0.625,0.666666667
octconv.pytorch,https://github.com/d-li14/octconv.pytorch,10,1,7,1,0.875,0.933333333
Anime-Colorization v0.2,https://github.com/dabsdamoon/Anime-Colorization-v0.2,10,0,8,0.8,0.8,0.8
#On the Quantitative Analysis of Decoder-Based Models,https://github.com/tonywu95/eval_gen,9,1,7,0.777777778,0.7,0.736842105
Sentence Embeddings,https://github.com/contemn1/sentence_embeddings,8,1,8,1,0.888888889,0.941176471
summarisers,https://github.com/mlennox/summarisers,10,0,8,0.8,0.8,0.8
qna chat-bot,https://github.com/gryan12/chat-bot,10,0,10,1,1,1
StarGAN-Multi-domain-use-tensorflow,https://github.com/Rongpeng-Lin/StarGAN-Multi-domain-use-tensorflow,8,0,7,0.875,0.875,0.875
Unsupervised Data Augmentation,https://github.com/BobaZooba/Unsupervised-Data-Augmentation,9,0,8,0.888888889,0.888888889,0.888888889
"Notice that this repository is only an open-source version of PL-SLAM released with the aim of being useful for the community, however, it is far from being optimized and we are not including some features of PL-SLAM.",https://github.com/rubengooj/pl-slam,8,0,5,0.625,0.625,0.625
DDRL A3C,https://github.com/anonymous-author1/DDRL,7,0,7,1,1,1
Autoencoder,https://github.com/awur978/Autoencoder,10,0,10,1,1,1
SeqGAN,https://github.com/vedantc6/SeqGAN,9,0,9,1,1,1
SegNet and Bayesian SegNet Tutorial,https://github.com/navganti/SegNet,10,1,10,1,0.909090909,0.952380952
FaceNet-with-TripletLoss,https://github.com/sainimohit23/FaceNet-Real-Time-face-recognition,9,0,8,0.888888889,0.888888889,0.888888889
Outline of steps for attempting NLP with audio instead of text. *Everything is WIP*,https://github.com/gittb/audiosandbox,8,0,6,0.75,0.75,0.75
Stochastic Ensemble Value Expansion,https://github.com/tensorflow/models/tree/master/research/steve,9,1,9,1,0.9,0.947368421
Shufflenet Tensorflow,https://github.com/afzalahmad0203/Tensorflow-Shufflenet,9,0,9,1,1,1
Opinion Dynamics with Varying Susceptibility to Persuasion,https://github.com/tsourolampis/opdyn-social-influence,6,1,5,0.833333333,0.714285714,0.769230769
LowRankFCM,https://github.com/Gorov/LowRankFCM,5,0,4,0.8,0.8,0.8
tensor-gmm,https://github.com/steverab/tensor-gmm,7,0,6,0.857142857,0.857142857,0.857142857
CleverHans (latest release: v3.0.1),https://github.com/johnsonkee/graduate_design,10,0,7,0.7,0.7,0.7
Machine Translation Languages,https://github.com/FulstatResearch/Machine-Translation-Language-Model,8,1,7,0.875,0.777777778,0.823529412
StackGAN-v2,https://github.com/hanzhanggit/StackGAN-v2,9,0,8,0.888888889,0.888888889,0.888888889
MRI Super Resolution,https://github.com/jamesgolden1/mri_super_resolution,8,1,7,0.875,0.777777778,0.823529412
RatPred,https://github.com/tuetschek/ratpred,10,0,7,0.7,0.7,0.7
benchmarks,https://github.com/openalpr/benchmarks,7,0,6,0.857142857,0.857142857,0.857142857
4099-Emotion-Analyser,https://github.com/syzroy/4099-Emotion-Analyser,9,1,8,0.888888889,0.8,0.842105263
EfficientNet PyTorch,https://github.com/lukemelas/EfficientNet-PyTorch,10,0,9,0.9,0.9,0.9
xDeepFM,https://github.com/Leavingseason/xDeepFM,8,0,8,1,1,1
FixRes,https://github.com/facebookresearch/FixRes,10,1,8,0.8,0.727272727,0.761904762
Shake-Shake regularization,https://github.com/xgastaldi/shake-shake,9,0,8,0.888888889,0.888888889,0.888888889
This repository contains code for the paper,https://github.com/DmitryUlyanov/AGE,10,0,8,0.8,0.8,0.8
DropMax: Adaptive Variationial Softmax,https://github.com/haebeom-lee/dropmax,9,0,8,0.888888889,0.888888889,0.888888889
gcn,https://github.com/bcsrn/gcn,9,0,8,0.888888889,0.888888889,0.888888889
SDM16,https://github.com/sckangz/SDM16,6,1,5,0.833333333,0.714285714,0.769230769
ImageToImageTranslation,https://github.com/dk67604/ImageToImageTranslation,8,1,7,0.875,0.777777778,0.823529412
Welcome to Toupee,https://github.com/nitbix/toupee,9,0,7,0.777777778,0.777777778,0.777777778
Overview,https://github.com/xuxu116/pytorch-reid-lite,10,0,6,0.6,0.6,0.6
Description,https://github.com/ipeirotis/Get-Another-Label,8,0,5,0.625,0.625,0.625
Unsupervised Data Augmentation,https://github.com/google-research/uda,10,0,8,0.8,0.8,0.8
graybox_fda_paper,https://github.com/rsantana-isg/graybox_fda_paper,7,1,6,0.857142857,0.75,0.8
mcores,https://github.com/hhjiang/mcores,8,0,7,0.875,0.875,0.875
DR(eye)VE Project: code repository,https://github.com/ndrplz/dreyeve,9,1,9,1,0.9,0.947368421
Information & Contact,https://github.com/vadimkantorov/cvpr2014,8,1,5,0.625,0.555555556,0.588235294
BE_GAN,https://github.com/davidismael/BEGAN,8,0,8,1,1,1
Tensorflow-Mobilenet,https://github.com/ZH-Lee/Tensorflow-Mobilenet,10,0,10,1,1,1
FractalNet: Ultra-deep neural networks without residuals,https://github.com/khanrc/pt.fractalnet,9,1,8,0.888888889,0.8,0.842105263
Hierarchical Question-Image Co-Attention for Visual Question Answering,https://github.com/jiasenlu/HieCoAttenVQA,9,1,8,0.888888889,0.8,0.842105263
Efficient Parallel Methods for Deep Reinforcement Learning,https://github.com/alfredvc/paac,10,1,9,0.9,0.818181818,0.857142857
enas_nni,https://github.com/countif/enas_nni,10,0,9,0.9,0.9,0.9
wrn-tensorflow,https://github.com/idobronstein/my_WRN,9,0,9,1,1,1
PointNet: *Deep Learning on Point Sets for 3D Classification and Segmentation*,https://github.com/charlesq34/pointnet,10,0,8,0.8,0.8,0.8
Robust Face Detection via Learning Small Faces on Hard Images,https://github.com/bairdzhang/smallhardface,9,1,8,0.888888889,0.8,0.842105263
What,https://github.com/jedz5/hisFirstRepo,8,1,5,0.625,0.555555556,0.588235294
SSD: Single Shot MultiBox Detector,https://github.com/pesong/ssd-caffe,10,1,9,0.9,0.818181818,0.857142857
Distributed ResNet on Cifar and Imagenet Dataset.,https://github.com/MichaelWangfc/distributed-tensorflow-resnet,9,1,8,0.888888889,0.8,0.842105263
lstm_model_py,https://github.com/hikaruya8/lstm_model_py,9,0,9,1,1,1
Code for the paper: TD or not TD: Analyzing the Role of Temporal Differencing in Deep Reinforcement Learning,https://github.com/lmb-freiburg/td-or-not-td,8,1,8,1,0.888888889,0.941176471
PointNet++: *Deep Hierarchical Feature Learning on Point Sets in a Metric Space*,https://github.com/brbzjl/pointnet2,9,0,8,0.888888889,0.888888889,0.888888889
ARC-Solvers,https://github.com/allenai/arc-solvers,9,1,9,1,0.9,0.947368421
anon48,https://github.com/socs2017-48/anon48,8,0,7,0.875,0.875,0.875
pyndri,https://github.com/cvangysel/pyndri,9,0,8,0.888888889,0.888888889,0.888888889
AI-Team-5: Combine Two Paper using Python,https://github.com/jooyounghun/AI-Team-5,10,0,8,0.8,0.8,0.8
DARQN,https://github.com/5vision/DARQN,6,0,6,1,1,1
narrative-modeling,https://github.com/liufly/narrative-modeling,9,0,8,0.888888889,0.888888889,0.888888889
Cilia Segmentation,https://github.com/ankit-vaghela30/Cilia-Segmentation,9,0,8,0.888888889,0.888888889,0.888888889
ULMFiT for Czech,https://github.com/simecek/Czech-ULMFiT,10,1,8,0.8,0.727272727,0.761904762
